Timestamp,Hostname,Serial Number,Scanned By,User,Lane
2026-04-06 15:38:09,Techs-MacBook-Pro.local,C02H80P8Q05P,camera,Max,General
2026-04-06 16:41:13,Techs-MacBook-Pro.local,C02GP0RXQ05P,camera,Max,General
2026-04-06 16:53:20,Techs-MacBook-Pro.local,C02GP0RXQ05P,camera,Max,General
2026-04-08 17:30:22,Techs-MacBook-Pro.local,HYOZ8Y3,camera,Max,A
2026-04-08 17:59:25,Techs-MacBook-Pro.local,C02GP0TPQ05P,camera,Max,A
2026-04-08 18:01:06,Techs-MacBook-Pro.local,C02GP0TP005P,camera,Nam,A
2026-04-09 17:00:17,Techs-MacBook-Pro.local,9003FH4,camera,Max,A
2026-04-09 17:10:07,Techs-MacBook-Pro.local,90D3FH4,camera,Max,A
