Timestamp,Hostname,Serial Number,Scanned By,User,Lane
2026-04-06 15:38:09,Techs-MacBook-Pro.local,C02H80P8Q05P,camera,Max,General
2026-04-06 16:41:13,Techs-MacBook-Pro.local,C02GP0RXQ05P,camera,Max,General
2026-04-06 16:53:20,Techs-MacBook-Pro.local,C02GP0RXQ05P,camera,Max,General
